index,model,time,label,start,start_act,end_act,h,n_obs,start_flag,n_obs_flag,pi,score,mape,rmse,coverage,success,experiment_id,run_id,subba
13,LinearRegressionModel,2024-06-25 14:18:25,2024-06-25,2024-06-25 00:00:00,2024-06-25,2024-06-25 23:00:00,24,24,True,True,0.95,True,0.0334800405181936,516.4757841470043,0.9583333333333334,True,159302524980438456,fc73d4760890443096d908de4dbdd866,PGAE
14,LinearRegressionModel,2024-06-25 14:19:51,2024-06-25,2024-06-25 00:00:00,2024-06-25,2024-06-25 23:00:00,24,24,True,True,0.95,True,0.0209252763103183,392.9258539873045,0.9583333333333334,True,572541091301331211,2f407d97f0e447428d230f9656302e56,SCE
15,LinearRegressionModel,2024-06-25 14:20:43,2024-06-25,2024-06-25 00:00:00,2024-06-25,2024-06-25 23:00:00,24,24,True,True,0.95,True,0.0784763439687801,263.5162551584167,0.9583333333333334,True,976893471698560773,f80abe50f6fd4f22a7a3556d9f43f375,SDGE
16,LinearRegressionModel,2024-06-25 14:21:24,2024-06-25,2024-06-25 00:00:00,2024-06-25,2024-06-25 23:00:00,24,24,True,True,0.95,True,0.1496484167414347,26.63292730970677,0.7916666666666666,True,431777207486082884,32957fc612624b2cb7069a7c802f3c3d,VEA
17,LinearRegressionModel,2024-06-26 14:16:38,2024-06-26,2024-06-26 00:00:00,2024-06-26,2024-06-26 23:00:00,24,24,True,True,0.95,True,0.0673930367150826,931.5982544015864,0.75,True,438566631784043773,61971f71b1ce49bb87ca6ffa278bbdfd,PGAE
18,LinearRegressionModel,2024-06-26 14:18:04,2024-06-26,2024-06-26 00:00:00,2024-06-26,2024-06-26 23:00:00,24,24,True,True,0.95,True,0.0201681704098852,358.00354967691953,1.0,True,611815441629297396,c8545ca50caa4ec19dbf80c28e316480,SCE
19,LinearRegressionModel,2024-06-26 14:18:57,2024-06-26,2024-06-26 00:00:00,2024-06-26,2024-06-26 23:00:00,24,24,True,True,0.95,True,0.02917174065165,90.75436648534944,1.0,True,719659150270890405,e2d2834e81ca4ebbb9464c7e7b80ae9b,SDGE
20,LinearRegressionModel,2024-06-26 14:19:38,2024-06-26,2024-06-26 00:00:00,2024-06-26,2024-06-26 23:00:00,24,24,True,True,0.95,True,0.15256555139473,37.62126882759124,0.75,True,341216981082656470,5cd8c52b4f0045fa9848b434fb659328,VEA
21,LinearRegressionModel,2024-06-30 21:11:04,2024-06-30,2024-06-30 00:00:00,2024-06-30,2024-06-30 23:00:00,24,24,True,True,0.95,True,0.02708344691919452,394.19592145798816,1.0,True,352181836743002905,163de182b3604836b4d79597b138ba5d,PGAE
22,LinearRegressionModel,2024-06-30 21:12:28,2024-06-30,2024-06-30 00:00:00,2024-06-30,2024-06-30 23:00:00,24,24,True,True,0.95,True,0.03693280574325698,619.2587840353701,0.9166666666666666,True,882348557214612962,52ac902b481a45abb23c2ce0dbc56282,SCE
23,LinearRegressionModel,2024-06-30 21:13:21,2024-06-30,2024-06-30 00:00:00,2024-06-30,2024-06-30 23:00:00,24,24,True,True,0.95,True,0.02941700487950808,64.26569058901141,1.0,True,561342251890326323,65c5aa1591654b769f6dbf28bbe6ce37,SDGE
24,LinearRegressionModel,2024-06-30 21:14:01,2024-06-30,2024-06-30 00:00:00,2024-06-30,2024-06-30 23:00:00,24,24,True,True,0.95,True,0.04291178216599835,9.65877623357024,0.9166666666666666,True,368745293176303763,0eb42c30eec443da97e73a1619d7e505,VEA
25,LinearRegressionModel,2024-07-01 12:38:26,2024-07-01,2024-07-01 00:00:00,2024-07-01,2024-07-01 23:00:00,24,24,True,True,0.95,False,0.037812871941150974,603.6029494628403,0.625,True,224497293642481438,9b8c3e7d9cdf4390b6c089fe544d10f8,PGAE
26,LinearRegressionModel,2024-07-01 12:39:53,2024-07-01,2024-07-01 00:00:00,2024-07-01,2024-07-01 23:00:00,24,24,True,True,0.95,False,0.047797876500624045,770.3823325430001,0.875,True,643864724810309394,cb20d636df2d460283e51081917aee7e,SCE
27,LinearRegressionModel,2024-07-01 12:40:45,2024-07-01,2024-07-01 00:00:00,2024-07-01,2024-07-01 23:00:00,24,24,True,True,0.95,False,0.01523885693297525,45.9208228324869,1.0,True,756233989576774391,31ea763e7a7d412ca7b213afb9ba8261,SDGE
28,LinearRegressionModel,2024-07-01 12:41:26,2024-07-01,2024-07-01 00:00:00,2024-07-01,2024-07-01 23:00:00,24,24,True,True,0.95,False,0.04375732069963871,5.9018258868432305,1.0,True,982363655507543789,561ba6e69baf43a1ad5f359e7833276e,VEA
